성남상권,상권명,상권종류,분기,매출총액,매출건수,서비스업,소매업,음식업,월,화,수,목,금,토,일,01~06,06~11,11~13,13~17,17~21,21~01,서비스업-10대비율,서비스업-20대비율,서비스업-30대비율,서비스업-40대비율,서비스업-50대비율,서비스업-60대이상비율,서비스업-남자비율,서비스업-여자비율,소매업-10대비율,소매업-20대비율,소매업-30대비율,소매업-40대비율,소매업-50대비율,소매업-60대이상비율,소매업-남자비율,소매업-여자비율,음식업-10대비율,음식업-20대비율,음식업-30대비율,음식업-40대비율,음식업-50대비율,음식업-60대이상비율,음식업-남자비율,음식업-여자비율
야탑 먹자골목,야탑1동주민센터,발달상권,2024년2분기,71676853.0,2012.0,252.0,125.0,206.0,14.7,15.0,14.3,13.7,17.2,16.7,8.5,4.8,11.8,16.6,29.2,26.3,11.4,0.2,9.3,14.5,21.0,25.6,29.5,52.0,48.0,0.2,8.1,11.4,17.5,21.3,41.6,43.5,56.5,0.3,14.0,21.0,23.0,23.4,18.3,65.0,35.0
야탑역 상권,야탑역,발달상권,2024년2분기,245043401.0,5770.0,116.0,232.0,144.0,12.2,12.9,18.1,13.6,14.3,16.5,12.4,0.6,11.4,20.4,39.7,25.5,2.3,0.1,5.5,11.6,24.4,25.8,32.6,49.9,50.1,0.1,3.8,9.6,20.6,29.5,36.4,36.2,63.8,0.5,12.8,18.6,24.5,23.2,20.4,54.3,45.7
야탑3동 상권,매화로,발달상권,2024년2분기,34506228.0,1109.0,40.0,29.0,48.0,23.3,11.1,12.1,16.1,21.0,9.5,7.0,1.1,9.8,16.6,43.0,23.3,6.2,0.3,19.0,17.9,26.0,22.4,14.4,53.7,46.3,0.1,3.2,9.0,31.5,42.4,13.8,45.3,54.7,0.2,7.7,16.2,23.9,26.8,25.3,56.5,43.5
판교테크노벨리,판교역로,발달상권,2024년2분기,24410190.0,1937.0,20.0,20.0,95.0,18.0,19.3,16.9,18.4,18.4,5.5,3.5,1.1,12.5,35.0,27.2,20.6,3.6,0.0,9.2,31.0,34.7,18.5,6.6,59.6,40.4,0.1,12.9,35.1,29.9,13.8,8.2,74.2,25.8,0.0,13.6,36.8,29.6,14.4,5.6,68.8,31.2
판교테크노벨리,아이큐아리움,발달상권,2024년2분기,55065696.0,2252.0,52.0,49.0,235.0,16.6,20.4,14.6,19.8,19.9,6.3,2.4,2.1,12.2,26.9,29.5,21.1,8.3,0.0,8.0,30.5,34.1,17.0,10.5,62.0,38.0,0.0,7.4,37.5,31.1,11.6,12.4,72.3,27.7,0.1,14.5,36.7,30.8,13.1,4.9,68.9,31.1
판교테크노벨리,대왕판교로645번길,발달상권,2024년2분기,2835927390.0,44452.0,1.0,13.0,3.0,17.0,15.9,15.6,15.9,13.2,11.2,11.3,9.4,17.1,12.0,23.4,20.4,17.8,0.0,11.3,44.1,30.2,13.0,1.3,87.5,12.5,0.0,4.3,23.1,41.8,22.2,8.6,52.9,47.1,0.9,5.1,64.8,21.6,5.5,2.0,35.5,64.5
판교역로 상권,판교역로192번길,발달상권,2024년2분기,83447186.0,2607.0,107.0,62.0,125.0,14.3,15.9,14.2,15.5,17.4,15.7,7.1,4.4,10.7,14.1,25.0,28.8,17.0,0.1,5.8,20.1,24.8,24.6,24.6,48.0,52.0,0.6,16.7,28.1,25.8,18.1,10.8,59.8,40.2,0.2,16.9,34.3,26.3,15.3,7.0,65.1,34.9
백현동 상권,동판교로52번길,발달상권,2024년2분기,23592820.0,657.0,24.0,31.0,29.0,12.7,13.7,17.0,11.7,15.2,16.7,13.2,1.1,5.7,17.2,33.8,33.4,8.8,0.0,7.7,15.0,50.6,18.3,8.4,47.5,52.5,0.1,13.7,27.8,21.7,21.4,15.3,51.7,48.3,0.2,9.4,23.1,27.4,23.6,16.3,56.3,43.7
수내역로데오 상권,수내역,발달상권,2024년2분기,90013171.0,2422.0,319.0,479.0,306.0,20.2,17.4,12.8,13.2,15.0,14.2,7.2,4.2,11.4,17.3,30.5,27.7,9.0,0.1,4.0,10.8,43.8,27.2,14.0,44.2,55.8,0.2,4.8,21.4,32.7,22.7,18.1,45.8,54.2,0.6,9.3,17.1,31.4,24.3,17.3,60.5,39.5
서현역로데오 상권,서현역,발달상권,2024년2분기,132513630.0,3645.0,315.0,553.0,338.0,11.7,12.4,12.9,13.1,17.3,17.9,14.8,2.0,5.1,17.6,39.0,31.3,5.0,0.4,12.3,19.7,25.5,25.2,17.0,43.0,57.0,0.9,15.7,16.5,21.3,24.1,21.4,45.6,54.4,0.5,12.3,16.4,19.4,24.6,26.8,41.6,58.4
