상권,종류,01~06,06~11,11~13,13~17,17~21,21~01,성남상권
야탑1동주민센터,발달,4.8,11.8,16.6,29.2,26.3,11.4,야탑 먹자골목
야탑역,발달,0.6,11.4,20.4,39.7,25.5,2.3,야탑역 상권
매화로,발달,1.1,9.8,16.6,43.0,23.3,6.2,야탑3동 상권
판교역로,발달,1.1,12.5,35.0,27.2,20.6,3.6,판교테크노벨리
아이큐아리움,발달,2.1,12.2,26.9,29.5,21.1,8.3,판교테크노벨리
대왕판교로645번길,발달,9.4,17.1,12.0,23.4,20.4,17.8,판교테크노벨리
판교역로192번길,발달,4.4,10.7,14.1,25.0,28.8,17.0,판교역로 상권
동판교로52번길,발달,1.1,5.7,17.2,33.8,33.4,8.8,백현동 상권
수내역,발달,4.2,11.4,17.3,30.5,27.7,9.0,수내역로데오 상권
서현역,발달,2.0,5.1,17.6,39.0,31.3,5.0,서현역로데오 상권
롯데마트서현점,발달,2.1,13.3,21.2,29.8,26.0,7.6,서현역로데오 상권
정자역_3번출구,발달,7.5,8.5,14.6,23.7,30.8,14.9,정자1동카페거리
정자일로_1,발달,5.2,4.8,15.3,24.7,35.2,14.7,정자1동카페거리
내정로17번길,발달,1.7,11.6,20.0,31.9,27.6,7.2,정자동 먹자골목 상권
미금역_3번출구,발달,1.0,11.8,18.4,33.4,29.0,6.4,미금현대벤처빌 상권
오리역_6번출구,발달,1.9,9.9,20.0,34.0,28.2,6.0,오리역 상권
오리역,발달,3.9,9.4,16.5,28.5,31.2,10.6,오리역 상권
매화로,골목,2.9,6.1,12.3,20.0,39.2,19.6,야탑 먹자골목
맹산반딧불이자연학교,골목,4.6,9.4,17.6,29.9,28.3,10.1,야탑3동 상권
동판교로52번길,골목,2.9,5.9,15.5,26.9,33.4,15.5,백현동 상권
판교역로10번길,골목,0.9,6.2,19.7,38.4,31.4,3.4,백현동 상권
내정로119번길,골목,3.5,9.0,14.8,26.7,34.1,11.8,정자동 상권
정자1동주민센터,골목,2.6,3.9,24.0,27.0,34.9,7.6,정자동 먹자골목 상권
미금일로,골목,5.8,3.1,10.5,18.9,40.6,21.1,미금현대벤처빌 상권
금호시장,전통,0.0,3.1,20.4,46.4,28.5,1.5,수내 전통상권
코끼리상가시장,전통,0.0,9.5,15.4,39.3,33.2,2.5,수내 전통상권
돌고래시장,전통,0.0,9.4,22.1,45.9,22.5,0.1,수내 전통상권
동신종합시장,전통,0.8,15.6,13.3,30.2,32.7,7.4,수내 전통상권
현대프라자시장,전통,1.5,8.3,11.2,33.5,36.8,8.7,수내 전통상권
현대시장(분당),전통,1.7,8.7,15.1,31.8,33.5,9.3,서현 전통상권
분당우성시장,전통,0.2,14.6,21.8,32.0,26.9,4.5,서현 전통상권
미래그린시장,전통,0.3,7.2,16.3,32.2,38.6,5.4,서현 전통상권
미래타운제2종합시장,전통,1.3,4.3,16.2,31.1,38.8,8.3,서현 전통상권
범한프라자시장,전통,,,,,,,서현 전통상권
미금현대벤처빌시장,전통,,,,,,,미금현대벤처빌 상권
