상권,종류,업종,10대,20대,30대,40대,50대,60대이상,남자,여자,성남상권
야탑1동주민센터,발달,음식업,0.3,14.0,21.0,23.0,23.4,18.3,65.0,35.0,야탑 먹자골목
야탑1동주민센터,발달,서비스업,0.2,9.3,14.5,21.0,25.6,29.5,52.0,48.0,야탑 먹자골목
야탑1동주민센터,발달,소매업,0.2,8.1,11.4,17.5,21.3,41.6,43.5,56.5,야탑 먹자골목
야탑역,발달,음식업,0.5,12.8,18.6,24.5,23.2,20.4,54.3,45.7,야탑역 상권
야탑역,발달,서비스업,0.1,5.5,11.6,24.4,25.8,32.6,49.9,50.1,야탑역 상권
야탑역,발달,소매업,0.1,3.8,9.6,20.6,29.5,36.4,36.2,63.8,야탑역 상권
매화로,발달,음식업,0.2,7.7,16.2,23.9,26.8,25.3,56.5,43.5,야탑3동 상권
매화로,발달,서비스업,0.3,19.0,17.9,26.0,22.4,14.4,53.7,46.3,야탑3동 상권
매화로,발달,소매업,0.1,3.2,9.0,31.5,42.4,13.8,45.3,54.7,야탑3동 상권
판교역로,발달,음식업,0.0,13.6,36.8,29.6,14.4,5.6,68.8,31.2,판교테크로벨리
판교역로,발달,서비스업,0.0,9.2,31.0,34.7,18.5,6.6,59.6,40.4,판교테크로벨리
판교역로,발달,소매업,0.1,12.9,35.1,29.9,13.8,8.2,74.2,25.8,판교테크로벨리
아이큐아리움,발달,음식업,0.1,14.5,36.7,30.8,13.1,4.9,68.9,31.1,판교테크로벨리
아이큐아리움,발달,서비스업,0.0,8.0,30.5,34.1,17.0,10.5,62.0,38.0,판교테크로벨리
아이큐아리움,발달,소매업,0.0,7.4,37.5,31.1,11.6,12.4,72.3,27.7,판교테크로벨리
대왕판교로645번길,발달,음식업,0.9,5.1,64.8,21.6,5.5,2.0,35.5,64.5,판교테크로벨리
대왕판교로645번길,발달,서비스업,0.0,11.3,44.1,30.2,13.0,1.3,87.5,12.5,판교테크로벨리
대왕판교로645번길,발달,소매업,0.0,4.3,23.1,41.8,22.2,8.6,52.9,47.1,판교테크로벨리
판교역로192번길,발달,음식업,0.2,16.9,34.3,26.3,15.3,7.0,65.1,34.9,판교역로 상권
판교역로192번길,발달,서비스업,0.1,5.8,20.1,24.8,24.6,24.6,48.0,52.0,판교역로 상권
판교역로192번길,발달,소매업,0.6,16.7,28.1,25.8,18.1,10.8,59.8,40.2,판교역로 상권
동판교로52번길,발달,음식업,0.2,9.4,23.1,27.4,23.6,16.3,56.3,43.7,백현동 상권
동판교로52번길,발달,서비스업,0.0,7.7,15.0,50.6,18.3,8.4,47.5,52.5,백현동 상권
