card_use_amt,crtr_ym,emd_cd,emd_nm,mbl_use_amt,mbl_user_cnt,par_ag,par_gend,stlm_amt,stlm_nocs,usage_rgn_cd
0,202001,41135103,정자동,1000000,2,01,M,1000000,2,41135
0,202001,41135105,서현동,2596700,14,01,M,2596700,14,41135
0,202001,41135110,백현동,201000,8,01,M,201000,8,41135
0,202002,41135102,수내동,34000,2,01,M,34000,2,41135
0,202002,41135105,서현동,2556500,10,01,M,2556500,10,41135
0,202002,41135110,백현동,18000,1,01,M,18000,1,41135
0,202002,41135114,구미동,1240000,5,01,M,1240000,5,41135
0,202003,41135102,수내동,2798000,11,01,M,2798000,11,41135
0,202003,41135105,서현동,1684000,5,01,M,1684000,5,41135
0,202003,41135106,이매동,21300,6,01,M,21300,6,41135
0,202002,41135102,수내동,34000,2,01,M,34000,2,41135
0,202002,41135105,서현동,2556500,10,01,M,2556500,10,41135
0,202002,41135110,백현동,18000,1,01,M,18000,1,41135
0,202002,41135114,구미동,1240000,5,01,M,1240000,5,41135
0,202003,41135102,수내동,2798000,11,01,M,2798000,11,41135
0,202003,41135105,서현동,1684000,5,01,M,1684000,5,41135
0,202003,41135106,이매동,21300,6,01,M,21300,6,41135
0,202003,41135111,금곡동,820000,3,01,M,820000,3,41135
0,202003,41135114,구미동,5500000,13,01,M,5500000,13,41135
0,202004,41135102,수내동,367000,8,01,M,367000,8,41135
0,202003,41135102,수내동,2798000,11,01,M,2798000,11,41135
0,202003,41135105,서현동,1684000,5,01,M,1684000,5,41135
0,202003,41135106,이매동,21300,6,01,M,21300,6,41135
0,202003,41135111,금곡동,820000,3,01,M,820000,3,41135
0,202003,41135114,구미동,5500000,13,01,M,5500000,13,41135
0,202004,41135102,수내동,367000,8,01,M,367000,8,41135
0,202004,41135103,정자동,219000,3,01,M,219000,3,41135
0,202004,41135105,서현동,6010900,15,01,M,6010900,15,41135
0,202004,41135106,이매동,15500,3,01,M,15500,3,41135
0,202004,41135107,야탑동,41100,7,01,M,41100,7,41135
0,202004,41135102,수내동,367000,8,01,M,367000,8,41135
0,202004,41135103,정자동,219000,3,01,M,219000,3,41135
0,202004,41135105,서현동,6010900,15,01,M,6010900,15,41135
0,202004,41135106,이매동,15500,3,01,M,15500,3,41135
0,202004,41135107,야탑동,41100,7,01,M,41100,7,41135
0,202004,41135109,삼평동,3110000,7,01,M,3110000,7,41135
0,202004,41135114,구미동,3514780,12,01,M,3514780,12,41135
0,202005,41135101,분당동,60000,2,01,M,60000,2,41135
0,202005,41135102,수내동,2510200,21,01,M,2510200,21,41135
0,202005,41135103,정자동,202200,21,01,M,202200,21,41135
0,202005,41135101,분당동,60000,2,01,M,60000,2,41135
0,202005,41135102,수내동,2510200,21,01,M,2510200,21,41135
0,202005,41135103,정자동,202200,21,01,M,202200,21,41135
0,202005,41135105,서현동,2073400,37,01,M,2073400,37,41135
0,202005,41135106,이매동,1528000,7,01,M,1528000,7,41135
0,202005,41135107,야탑동,1835400,6,01,M,1835400,6,41135
0,202005,41135109,삼평동,1500000,2,01,M,1500000,2,41135
