card_use_amt,crtr_ym,emd_cd,emd_nm,mbl_use_amt,mbl_user_cnt,par_ag,par_gend,stlm_amt,stlm_nocs,usage_rgn_cd
0,202001,41131000,,1410500,17,01,M,1410500,17,41131
0,202001,41131102,태평동,41950,12,01,M,41950,12,41131
0,202002,41131000,,429000,4,01,M,429000,4,41131
0,202002,41131102,태평동,3000,3,01,M,3000,3,41131
0,202003,41131000,,200000,2,01,M,200000,2,41131
0,202003,41131103,수진동,100000,1,01,M,100000,1,41131
0,202004,41131000,,1077890,21,01,M,1077890,21,41131
0,202004,41131102,태평동,110200,8,01,M,110200,8,41131
0,202004,41131103,수진동,382100,1,01,M,382100,1,41131
0,202005,41131000,,6072930,66,01,M,6072930,66,41131
0,202002,41131000,,429000,4,01,M,429000,4,41131
0,202002,41131102,태평동,3000,3,01,M,3000,3,41131
0,202003,41131000,,200000,2,01,M,200000,2,41131
0,202003,41131103,수진동,100000,1,01,M,100000,1,41131
0,202004,41131000,,1077890,21,01,M,1077890,21,41131
0,202004,41131102,태평동,110200,8,01,M,110200,8,41131
0,202004,41131103,수진동,382100,1,01,M,382100,1,41131
0,202005,41131000,,6072930,66,01,M,6072930,66,41131
0,202005,41131102,태평동,2020000,13,01,M,2020000,13,41131
0,202005,41131107,복정동,176000,1,01,M,176000,1,41131
0,202003,41131000,,200000,2,01,M,200000,2,41131
0,202003,41131103,수진동,100000,1,01,M,100000,1,41131
0,202004,41131000,,1077890,21,01,M,1077890,21,41131
0,202004,41131102,태평동,110200,8,01,M,110200,8,41131
0,202004,41131103,수진동,382100,1,01,M,382100,1,41131
0,202005,41131000,,6072930,66,01,M,6072930,66,41131
0,202005,41131102,태평동,2020000,13,01,M,2020000,13,41131
0,202005,41131107,복정동,176000,1,01,M,176000,1,41131
0,202005,41131108,창곡동,1035500,4,01,M,1035500,4,41131
0,202006,41131000,,12415000,71,01,M,12415000,71,41131
0,202004,41131000,,1077890,21,01,M,1077890,21,41131
0,202004,41131102,태평동,110200,8,01,M,110200,8,41131
0,202004,41131103,수진동,382100,1,01,M,382100,1,41131
0,202005,41131000,,6072930,66,01,M,6072930,66,41131
0,202005,41131102,태평동,2020000,13,01,M,2020000,13,41131
0,202005,41131107,복정동,176000,1,01,M,176000,1,41131
0,202005,41131108,창곡동,1035500,4,01,M,1035500,4,41131
0,202006,41131000,,12415000,71,01,M,12415000,71,41131
0,202006,41131101,신흥동,3170000,7,01,M,3170000,7,41131
0,202006,41131102,태평동,2927500,30,01,M,2927500,30,41131
0,202005,41131000,,6072930,66,01,M,6072930,66,41131
0,202005,41131102,태평동,2020000,13,01,M,2020000,13,41131
0,202005,41131107,복정동,176000,1,01,M,176000,1,41131
0,202005,41131108,창곡동,1035500,4,01,M,1035500,4,41131
0,202006,41131000,,12415000,71,01,M,12415000,71,41131
0,202006,41131101,신흥동,3170000,7,01,M,3170000,7,41131
0,202006,41131102,태평동,2927500,30,01,M,2927500,30,41131
0,202006,41131107,복정동,42000,3,01,M,42000,3,41131
0,202006,41131108,창곡동,1200000,4,01,M,1200000,4,41131
0,202007,41131000,,22707440,194,01,M,22707440,194,41131
0,202006,41131000,,12415000,71,01,M,12415000,71,41131
0,202006,41131101,신흥동,3170000,7,01,M,3170000,7,41131
0,202006,41131102,태평동,2927500,30,01,M,2927500,30,41131
0,202006,41131107,복정동,42000,3,01,M,42000,3,41131
0,202006,41131108,창곡동,1200000,4,01,M,1200000,4,41131
0,202007,41131000,,22707440,194,01,M,22707440,194,41131
0,202007,41131101,신흥동,1500000,3,01,M,1500000,3,41131
0,202007,41131102,태평동,2315000,16,01,M,2315000,16,41131
0,202007,41131103,수진동,1617900,2,01,M,1617900,2,41131
0,202007,41131104,단대동,690000,3,01,M,690000,3,41131
0,202007,41131000,,22707440,194,01,M,22707440,194,41131
0,202007,41131101,신흥동,1500000,3,01,M,1500000,3,41131
0,202007,41131102,태평동,2315000,16,01,M,2315000,16,41131
0,202007,41131103,수진동,1617900,2,01,M,1617900,2,41131
0,202007,41131104,단대동,690000,3,01,M,690000,3,41131
0,202007,41131106,양지동,38000,3,01,M,38000,3,41131
0,202007,41131107,복정동,42000,3,01,M,42000,3,41131
0,202007,41131108,창곡동,3377000,20,01,M,3377000,20,41131
0,202008,41131000,,35469810,262,01,M,35469810,262,41131
0,202008,41131101,신흥동,2140100,15,01,M,2140100,15,41131
0,202008,41131000,,35469810,262,01,M,35469810,262,41131
0,202008,41131101,신흥동,2140100,15,01,M,2140100,15,41131
0,202008,41131102,태평동,1279000,10,01,M,1279000,10,41131
0,202008,41131103,수진동,560000,4,01,M,560000,4,41131
0,202008,41131104,단대동,990000,6,01,M,990000,6,41131
0,202008,41131106,양지동,35000,6,01,M,35000,6,41131
0,202008,41131107,복정동,42000,3,01,M,42000,3,41131
