card_use_amt,crtr_ym,emd_cd,emd_nm,mbl_use_amt,mbl_user_cnt,par_ag,par_gend,stlm_amt,stlm_nocs,usage_rgn_cd
0,202005,41133103,금광동,1101000,5,01,M,1101000,5,41133
0,202006,41133103,금광동,825000,12,01,M,825000,12,41133
0,202006,41133105,상대원동,10800,4,01,M,10800,4,41133
0,202007,41133101,성남동,1707800,33,01,M,1707800,33,41133
0,202007,41133103,금광동,2338400,23,01,M,2338400,23,41133
0,202007,41133105,상대원동,18000,4,01,M,18000,4,41133
0,202007,41133106,여수동,64000,4,01,M,64000,4,41133
0,202008,41133101,성남동,498300,13,01,M,498300,13,41133
0,202008,41133103,금광동,3175590,32,01,M,3175590,32,41133
0,202008,41133104,은행동,30000,3,01,M,30000,3,41133
0,202005,41133103,금광동,1101000,5,01,M,1101000,5,41133
0,202006,41133103,금광동,825000,12,01,M,825000,12,41133
0,202006,41133105,상대원동,10800,4,01,M,10800,4,41133
0,202007,41133101,성남동,1707800,33,01,M,1707800,33,41133
0,202007,41133103,금광동,2338400,23,01,M,2338400,23,41133
0,202007,41133105,상대원동,18000,4,01,M,18000,4,41133
0,202007,41133106,여수동,64000,4,01,M,64000,4,41133
0,202008,41133101,성남동,498300,13,01,M,498300,13,41133
0,202008,41133103,금광동,3175590,32,01,M,3175590,32,41133
0,202008,41133104,은행동,30000,3,01,M,30000,3,41133
0,202005,41133103,금광동,1101000,5,01,M,1101000,5,41133
0,202006,41133103,금광동,825000,12,01,M,825000,12,41133
0,202006,41133105,상대원동,10800,4,01,M,10800,4,41133
0,202007,41133101,성남동,1707800,33,01,M,1707800,33,41133
0,202007,41133103,금광동,2338400,23,01,M,2338400,23,41133
0,202007,41133105,상대원동,18000,4,01,M,18000,4,41133
0,202007,41133106,여수동,64000,4,01,M,64000,4,41133
0,202008,41133101,성남동,498300,13,01,M,498300,13,41133
0,202008,41133103,금광동,3175590,32,01,M,3175590,32,41133
0,202008,41133104,은행동,30000,3,01,M,30000,3,41133
0,202005,41133103,금광동,1101000,5,01,M,1101000,5,41133
0,202006,41133103,금광동,825000,12,01,M,825000,12,41133
0,202006,41133105,상대원동,10800,4,01,M,10800,4,41133
0,202007,41133101,성남동,1707800,33,01,M,1707800,33,41133
0,202007,41133103,금광동,2338400,23,01,M,2338400,23,41133
0,202007,41133105,상대원동,18000,4,01,M,18000,4,41133
0,202007,41133106,여수동,64000,4,01,M,64000,4,41133
0,202008,41133101,성남동,498300,13,01,M,498300,13,41133
0,202008,41133103,금광동,3175590,32,01,M,3175590,32,41133
0,202008,41133104,은행동,30000,3,01,M,30000,3,41133
0,202005,41133103,금광동,1101000,5,01,M,1101000,5,41133
0,202006,41133103,금광동,825000,12,01,M,825000,12,41133
0,202006,41133105,상대원동,10800,4,01,M,10800,4,41133
0,202007,41133101,성남동,1707800,33,01,M,1707800,33,41133
0,202007,41133103,금광동,2338400,23,01,M,2338400,23,41133
0,202007,41133105,상대원동,18000,4,01,M,18000,4,41133
0,202007,41133106,여수동,64000,4,01,M,64000,4,41133
0,202008,41133101,성남동,498300,13,01,M,498300,13,41133
0,202008,41133103,금광동,3175590,32,01,M,3175590,32,41133
0,202008,41133104,은행동,30000,3,01,M,30000,3,41133
0,202006,41133103,금광동,825000,12,01,M,825000,12,41133
0,202006,41133105,상대원동,10800,4,01,M,10800,4,41133
0,202007,41133101,성남동,1707800,33,01,M,1707800,33,41133
0,202007,41133103,금광동,2338400,23,01,M,2338400,23,41133
0,202007,41133105,상대원동,18000,4,01,M,18000,4,41133
0,202007,41133106,여수동,64000,4,01,M,64000,4,41133
0,202008,41133101,성남동,498300,13,01,M,498300,13,41133
0,202008,41133103,금광동,3175590,32,01,M,3175590,32,41133
0,202008,41133104,은행동,30000,3,01,M,30000,3,41133
0,202008,41133106,여수동,140000,12,01,M,140000,12,41133
0,202007,41133101,성남동,1707800,33,01,M,1707800,33,41133
0,202007,41133103,금광동,2338400,23,01,M,2338400,23,41133
0,202007,41133105,상대원동,18000,4,01,M,18000,4,41133
0,202007,41133106,여수동,64000,4,01,M,64000,4,41133
0,202008,41133101,성남동,498300,13,01,M,498300,13,41133
0,202008,41133103,금광동,3175590,32,01,M,3175590,32,41133
0,202008,41133104,은행동,30000,3,01,M,30000,3,41133
0,202008,41133106,여수동,140000,12,01,M,140000,12,41133
0,202008,41133107,도촌동,251700,19,01,M,251700,19,41133
0,202008,41133109,하대원동,451820,16,01,M,451820,16,41133
0,202008,41133101,성남동,498300,13,01,M,498300,13,41133
0,202008,41133103,금광동,3175590,32,01,M,3175590,32,41133
0,202008,41133104,은행동,30000,3,01,M,30000,3,41133
0,202008,41133106,여수동,140000,12,01,M,140000,12,41133
0,202008,41133107,도촌동,251700,19,01,M,251700,19,41133
0,202008,41133109,하대원동,451820,16,01,M,451820,16,41133
0,202008,41133132,중앙동,52000,5,01,M,52000,5,41133
0,202009,41133101,성남동,8419850,59,01,M,8419850,59,41133
0,202009,41133103,금광동,1581710,33,01,M,1581710,33,41133
0,202009,41133104,은행동,1163880,36,01,M,1163880,36,41133
0,202009,41133101,성남동,8419850,59,01,M,8419850,59,41133
0,202009,41133103,금광동,1581710,33,01,M,1581710,33,41133
0,202009,41133104,은행동,1163880,36,01,M,1163880,36,41133
0,202009,41133105,상대원동,4070660,112,01,M,4070660,112,41133
0,202009,41133106,여수동,1583800,39,01,M,1583800,39,41133
0,202009,41133107,도촌동,2460970,84,01,M,2460970,84,41133
0,202009,41133109,하대원동,1014480,28,01,M,1014480,28,41133
0,202009,41133132,중앙동,348000,9,01,M,348000,9,41133
0,202010,41133101,성남동,1640200,46,01,M,1640200,46,41133
0,202010,41133103,금광동,11387300,163,01,M,11387300,163,41133
0,202010,41133101,성남동,1640200,46,01,M,1640200,46,41133
0,202010,41133103,금광동,11387300,163,01,M,11387300,163,41133
0,202010,41133104,은행동,13468280,102,01,M,13468280,102,41133
0,202010,41133105,상대원동,2591460,78,01,M,2591460,78,41133
0,202010,41133106,여수동,579100,59,01,M,579100,59,41133
0,202010,41133107,도촌동,2125430,127,01,M,2125430,127,41133
0,202010,41133109,하대원동,2116720,61,01,M,2116720,61,41133
0,202010,41133132,중앙동,817600,20,01,M,817600,20,41133
0,202011,41133101,성남동,2865850,89,01,M,2865850,89,41133
0,202011,41133103,금광동,7652200,124,01,M,7652200,124,41133
0,202011,41133101,성남동,2865850,89,01,M,2865850,89,41133
0,202011,41133103,금광동,7652200,124,01,M,7652200,124,41133
0,202011,41133104,은행동,13267950,70,01,M,13267950,70,41133
0,202011,41133105,상대원동,1418500,45,01,M,1418500,45,41133
0,202011,41133106,여수동,2062980,72,01,M,2062980,72,41133
0,202011,41133107,도촌동,3520130,79,01,M,3520130,79,41133
0,202011,41133109,하대원동,2485600,63,01,M,2485600,63,41133
0,202011,41133132,중앙동,141000,13,01,M,141000,13,41133
0,202012,41133101,성남동,4341780,123,01,M,4341780,123,41133
0,202012,41133103,금광동,7671350,75,01,M,7671350,75,41133
0,202012,41133101,성남동,4341780,123,01,M,4341780,123,41133
0,202012,41133103,금광동,7671350,75,01,M,7671350,75,41133
0,202012,41133104,은행동,2386600,32,01,M,2386600,32,41133
0,202012,41133105,상대원동,766390,67,01,M,766390,67,41133
0,202012,41133106,여수동,821400,42,01,M,821400,42,41133
0,202012,41133107,도촌동,841690,60,01,M,841690,60,41133
0,202012,41133109,하대원동,843980,34,01,M,843980,34,41133
0,202012,41133132,중앙동,4151000,25,01,M,4151000,25,41133
0,202101,41133101,성남동,2407920,26,01,M,2407920,26,41133
0,202101,41133103,금광동,4568680,33,01,M,4568680,33,41133
0,202101,41133101,성남동,2407920,26,01,M,2407920,26,41133
0,202101,41133103,금광동,4568680,33,01,M,4568680,33,41133
0,202101,41133104,은행동,80800,10,01,M,80800,10,41133
0,202101,41133105,상대원동,1755500,15,01,M,1755500,15,41133
0,202101,41133106,여수동,83500,10,01,M,83500,10,41133
0,202101,41133107,도촌동,221240,4,01,M,221240,4,41133
0,202101,41133109,하대원동,2120000,13,01,M,2120000,13,41133
0,202101,41133132,중앙동,594700,5,01,M,594700,5,41133
0,202102,41133101,성남동,1573800,13,01,M,1573800,13,41133
0,202102,41133103,금광동,5028500,42,01,M,5028500,42,41133
0,202102,41133101,성남동,1573800,13,01,M,1573800,13,41133
0,202102,41133103,금광동,5028500,42,01,M,5028500,42,41133
0,202102,41133104,은행동,140500,11,01,M,140500,11,41133
0,202102,41133105,상대원동,1653200,18,01,M,1653200,18,41133
0,202102,41133106,여수동,99200,11,01,M,99200,11,41133
0,202102,41133107,도촌동,602800,12,01,M,602800,12,41133
0,202102,41133109,하대원동,1466590,9,01,M,1466590,9,41133
0,202102,41133132,중앙동,2528510,6,01,M,2528510,6,41133
0,202103,41133101,성남동,3746120,95,01,M,3746120,95,41133
0,202103,41133103,금광동,10208100,92,01,M,10208100,92,41133
0,202103,41133101,성남동,3746120,95,01,M,3746120,95,41133
0,202103,41133103,금광동,10208100,92,01,M,10208100,92,41133
0,202103,41133104,은행동,781300,55,01,M,781300,55,41133
0,202103,41133105,상대원동,2628000,44,01,M,2628000,44,41133
0,202103,41133106,여수동,345200,18,01,M,345200,18,41133
0,202103,41133107,도촌동,1789800,29,01,M,1789800,29,41133
0,202103,41133109,하대원동,4786000,36,01,M,4786000,36,41133
0,202103,41133132,중앙동,2915100,18,01,M,2915100,18,41133
0,202104,41133101,성남동,9363770,378,01,M,9363770,378,41133
24100,202104,41133103,금광동,10655694,377,01,M,10679794,382,41133
0,202104,41133101,성남동,9363770,378,01,M,9363770,378,41133
24100,202104,41133103,금광동,10655694,377,01,M,10679794,382,41133
214680,202104,41133104,은행동,4128980,172,01,M,4343660,184,41133
